date,content,score,userName,app,platform,Label 1 (Kenneth),Label 2 (Ben),Label 3 (Sahil)
5/17/20 0:06,Cost too much to get the order,1,Jennifer Donelson,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
1/22/23 1:15,Not happy about this. No ones business but mine. Nobody's food also!!!,1,Clifford Johnson,Grubhub,Google Play,Order Accuracy,Order Accuracy,Order Accuracy
3/31/21 19:02,Expensive then uber eats,1,Muzamil Ahmed,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
7/16/20 0:22,They will never accept my order to my favorite restaurant,1,Chris Naivar,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
5/31/20 19:33,First order was great. Every order after has been a hassle I even pay for gh+ and I either don't get my food or the order gets canceled.,1,Dustin Sago,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
11/21/21 23:34,"""menu items are not available"" The app just stopped working recently, I can't order anything.",1,Joshua Babb,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
11/20/22 1:50,complications with my order not going through lost out on my food,1,Rejine Caraballo,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
9/6/23 19:55,service fees are RIDICULOUS!!!!,1,Kandice Hodge,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
9/11/23 9:55,Terrible do not use this app. Food is constantly very late. It will be an hour to get McDonald's from down the street. Often they will just push the delivery window back again and again and then they will just cancel your order after it's been delayed multiple times.,1,Rick Johnson,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
10/14/23 15:03,"There's not enough drivers but instead of them telling you, they simply delay your order several times before just cancelling it. Why not just be upfront and say that there are no drivers in the area or not even have the option to order instead of having us wait over an hour and a half for a delivery that was estimated for 10 minutes? This has happened 3 times (I gave them the benefit of the doubt the first 2 times) but it's apparent that this is and will be an ongoing issue.",1,xxJade16xx,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
5/4/20 21:36,"Waste of time and money. Food always cold and rarely correct. Never on time. They just keep updating the delivery time and then claim it was ""on time"". Drivers could not care less. Whatever you do, don't tip them up front!",1,Vrotate,Grubhub,Google Play,Others,Others,Others
3/4/21 18:28,Just disappointing and the drivers steal your food more than I get your food I'm pretty sure there are no standards at all for drivers like anyone can be one and I never get dissaplened No matter how many times customers complain or how many times get caught stealing. Next time I'm to drunk to drive to food I'll walk!!!!!,1,Kurtis Ward,Grubhub,Google Play,Order Accuracy,Delivery Issue,Delivery Issue
7/4/23 21:58,It takes a little over a hour to get here,1,Sarah Easterling,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
9/18/20 13:48,Says they take cash and don't. Update. Says grubhub is the only app to take good ol cash but doesn't have an option. On the app or the computer.,1,Google can Suck it,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
10/14/20 1:04,It takes too much money from hardworking mom and pop shops,1,Jeremiah Rubin,Grubhub,Google Play,Price / Cost Complaint,Price / Cost Complaint,Price / Cost Complaint
2/26/22 20:14,I ordered food from rax in circleville twice and it not delivered I want my money returnd to my account,1,Mary jane moore Downs,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
12/17/23 18:20,This app is the biggest POS ever. No orders ever go through.,1,Chae Porter,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
10/2/21 1:53,App won't process my credit card. Customer support consists of a short paragraph stating I should update my credit card info exactly as my bank has on file and a was this page helpful? Smiley/sad face. I entered my cards info into uber eats and it it works fine.,1,Kevin Nguyen,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
8/6/23 18:09,"Unable to place an order due to and ""unknown error"" across 3 days. When I was able to get to the order screen my saved payments would be gone. I would add a payment method only for it to disappear right away. Absolutely terrible experience using the app.",1,Andrew S,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
5/30/21 18:15,"We wait for an hour for food to be delivered and right before arrival, the order gets canceled. This happens 2-3 times a week! Besides the frustration, they also do not refund the money! I will be filing multiple disputes at this point. This is unacceptable.",1,Svetlana Conques,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
6/29/21 1:27,I pay for a membership for this delivery service but can't use my grubhub rewards for my delivery orders. I find that very frustrating and would not recommend membership to someone over this.,1,Jackuline whitright,Grubhub,Google Play,Payment / App Bugs,Payment / App Bugs,Payment / App Bugs
8/25/21 22:45,"Terrible Service. It should be an automatic common sense to bring creamers, sugar packets, ketchup & etc when ordering drinks or food. My first and last time trying this so called delivery company!",1,Alexander The Great Eminem Fan Stan Shady,Grubhub,Google Play,Others,Others,Others
6/7/21 0:11,"The service sucks, sucks really bad, the delivery people don't give a flop, I have been told my food was delivered when it wasn't SEVERAL times!! , had to call to cancel and ask my money back, Doordash all the way, not a single problem with them, put your stuff together grubhub.",1,Carlos Rosas,Grubhub,Google Play,Delivery Issue,Delivery Issue,Delivery Issue
