date,content,fireworks_deepseek-chat_labels
5/17/20 0:06,Cost too much to get the order,Price / Cost Complaint
1/22/23 1:15,Not happy about this. No ones business but mine. Nobody's food also!!!,Order Accuracy
3/31/21 19:02,Expensive then uber eats,Price / Cost Complaint
7/16/20 0:22,They will never accept my order to my favorite restaurant,App Bugs / Payment Issue
5/31/20 19:33,First order was great. Every order after has been a hassle I even pay for gh+ and I either don't get my food or the order gets canceled.,Delivery Issue
11/21/21 23:34,"""menu items are not available"" The app just stopped working recently, I can't order anything.",App Bugs / Payment Issue
11/20/22 1:50,complications with my order not going through lost out on my food,App Bugs / Payment Issue
9/6/23 19:55,service fees are RIDICULOUS!!!!,Price / Cost Complaint
9/11/23 9:55,Terrible do not use this app. Food is constantly very late. It will be an hour to get McDonald's from down the street. Often they will just push the delivery window back again and again and then they will just cancel your order after it's been delayed multiple times.,Delivery Issue
10/14/23 15:03,"There's not enough drivers but instead of them telling you, they simply delay your order several times before just cancelling it. Why not just be upfront and say that there are no drivers in the area or not even have the option to order instead of having us wait over an hour and a half for a delivery that was estimated for 10 minutes? This has happened 3 times (I gave them the benefit of the doubt the first 2 times) but it's apparent that this is and will be an ongoing issue.",Delivery Issue
5/4/20 21:36,"Waste of time and money. Food always cold and rarely correct. Never on time. They just keep updating the delivery time and then claim it was ""on time"". Drivers could not care less. Whatever you do, don't tip them up front!",Delivery Issue
3/4/21 18:28,Just disappointing and the drivers steal your food more than I get your food I'm pretty sure there are no standards at all for drivers like anyone can be one and I never get dissaplened No matter how many times customers complain or how many times get caught stealing. Next time I'm to drunk to drive to food I'll walk!!!!!,Delivery Issue
7/4/23 21:58,It takes a little over a hour to get here,Delivery Issue
9/18/20 13:48,Says they take cash and don't. Update. Says grubhub is the only app to take good ol cash but doesn't have an option. On the app or the computer.,App Bugs / Payment Issue
10/14/20 1:04,It takes too much money from hardworking mom and pop shops,Price / Cost Complaint
2/26/22 20:14,I ordered food from rax in circleville twice and it not delivered I want my money returnd to my account,Delivery Issue
